Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0070555~response to interleukin-1	3	3.125	0.010335743743035725	CYBA, GCLC, CHIL1	88	32	18082	19.263494318181817	0.9994476007825247	0.26842215659269664	14.557745504862641
GOTERM_BP_DIRECT	GO:0006810~transport	17	17.708333333333336	0.012611528050247216	ATP5J2, SNX7, ATP5F1, APOC1, ARF5, ATP6V1G1, CD63, UQCRQ, LCN2, SLC26A4, TMEM37, CYBA, ATP6V0E, UQCR11, CLIC3, LBP, SCP2	88	1822	18082	1.9171864085420616	0.9998951969718938	0.3068695900111057	17.485142145815413
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	5	5.208333333333334	0.013598579257195086	H2-K1, PGLYRP1, SLPI, HP, LBP	88	191	18082	5.3789861970490245	0.9999490946367123	0.31628435006531963	18.725452643639507
GOTERM_BP_DIRECT	GO:0006641~triglyceride metabolic process	3	3.125	0.015109413099833598	SCD1, GPX1, APOC1	88	39	18082	15.805944055944053	0.9999831683615272	0.3344359336492563	20.59025950226824
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	9	9.375	0.016031895913466883	SCD1, GPX1, CYBA, UQCR11, PTGS1, PRDX2, PRDX1, UQCRQ, SOD2	88	676	18082	2.735644163528779	0.9999914434837864	0.3408100062084608	21.70914061396887
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	4	4.166666666666666	0.016045089141954842	LCN2, ICAM1, CYBA, CHIL1	88	110	18082	7.471900826446281	0.9999915259178468	0.3314919461471836	21.725035377145495
GOTERM_BP_DIRECT	GO:0055072~iron ion homeostasis	3	3.125	0.01739395127189983	LCN2, SOD2, B2M	88	42	18082	14.676948051948052	0.999996852608282	0.3444612631933035	23.334287772823092
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	5	5.208333333333334	0.01832577676748879	LCN2, ICAM1, LBP, CD14, B2M	88	209	18082	4.9157242279251845	0.9999984134500765	0.3499932558971043	24.427892472275015
GOTERM_BP_DIRECT	GO:2001199~negative regulation of dendritic cell differentiation	2	2.083333333333333	0.01910877919525544	TMEM176B, TMEM176A	88	4	18082	102.73863636363637	0.9999991082319497	0.3529387801499462	25.335552961955365
GOTERM_BP_DIRECT	GO:0045429~positive regulation of nitric oxide biosynthetic process	3	3.125	0.01981529192037854	ICAM1, CLU, SOD2	88	45	18082	13.698484848484847	0.9999994699458444	0.35460159738685304	26.145798028914136
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	4	4.166666666666666	0.020621199334519003	CHIL1, C3, HC, LRG1	88	121	18082	6.792637114951164	0.9999997073120744	0.35755576621413954	27.060002264365536
GOTERM_BP_DIRECT	GO:0050766~positive regulation of phagocytosis	3	3.125	0.02236912755329631	CYBA, C3, SFTPD	88	48	18082	12.842329545454545	0.9999999194096004	0.3729208221831092	29.00661652061264
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	3	3.125	0.023249118356214436	GPX1, GCLC, SOD2	88	49	18082	12.580241187384043	0.9999999579358425	0.3761090698843501	29.968168836825228
GOTERM_BP_DIRECT	GO:0014823~response to activity	3	3.125	0.023249118356214436	CYBA, GCLC, SOD2	88	49	18082	12.580241187384043	0.9999999579358425	0.3761090698843501	29.968168836825228
GOTERM_BP_DIRECT	GO:0008228~opsonization	2	2.083333333333333	0.023829297848453536	SFTPD, LBP	88	5	18082	82.19090909090909	0.9999999726091675	0.37538709592429775	30.595453772959424
GOTERM_BP_DIRECT	GO:0032755~positive regulation of interleukin-6 production	3	3.125	0.02597307398953346	CYBA, LBP, IL33	88	52	18082	11.85445804195804	0.9999999943993935	0.39347558023966356	32.86805752295698
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	3	3.125	0.030783914713894998	CTSC, PSMB8, PSMB9	88	57	18082	10.814593301435405	0.9999999998430784	0.4394591746233628	37.71746132698062
GOTERM_BP_DIRECT	GO:0042542~response to hydrogen peroxide	3	3.125	0.03178539025883034	GPX1, HP, SOD2	88	58	18082	10.628134796238244	0.9999999999256094	0.4418024190798665	38.684913675289664
GOTERM_BP_DIRECT	GO:0008217~regulation of blood pressure	3	3.125	0.03591750833223628	CYBA, PTGS1, SOD2	88	62	18082	9.942448680351905	0.999999999996608	0.4748844681982711	42.53015138903565
GOTERM_BP_DIRECT	GO:0010977~negative regulation of neuron projection development	3	3.125	0.038057321517008656	H2-K1, H2-D1, B2M	88	64	18082	9.631747159090908	0.9999999999993181	0.4867527726103935	44.43172078447066
GOTERM_BP_DIRECT	GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3	3.125	0.03914518006066587	GCLC, CLU, IL33	88	65	18082	9.483566433566432	0.9999999999996988	0.48853972237209264	45.37576968069956
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	4	4.166666666666666	0.03946243507666466	ELOVL1, SCD1, C3, PTGS1	88	156	18082	5.268648018648018	0.9999999999997626	0.4834927219730484	45.64825080859784
GOTERM_BP_DIRECT	GO:0071223~cellular response to lipoteichoic acid	2	2.083333333333333	0.04248785083540263	LBP, CD14	88	9	18082	45.66161616161616	0.9999999999999757	0.5017232094352742	48.183677334344466
GOTERM_BP_DIRECT	GO:0050665~hydrogen peroxide biosynthetic process	2	2.083333333333333	0.04248785083540263	CYBA, SOD2	88	9	18082	45.66161616161616	0.9999999999999757	0.5017232094352742	48.183677334344466
GOTERM_BP_DIRECT	GO:0042743~hydrogen peroxide metabolic process	2	2.083333333333333	0.04248785083540263	PRDX2, SOD2	88	9	18082	45.66161616161616	0.9999999999999757	0.5017232094352742	48.183677334344466
GOTERM_BP_DIRECT	GO:0002485~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	2	2.083333333333333	0.04248785083540263	H2-K1, H2-D1	88	9	18082	45.66161616161616	0.9999999999999757	0.5017232094352742	48.183677334344466
GOTERM_BP_DIRECT	GO:0035456~response to interferon-beta	2	2.083333333333333	0.04248785083540263	BST2, IFITM2	88	9	18082	45.66161616161616	0.9999999999999757	0.5017232094352742	48.183677334344466
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	2	2.083333333333333	0.04709713302312037	GPX1, GCLC	88	10	18082	41.095454545454544	0.9999999999999992	0.5310196564460257	51.83496767277897
GOTERM_BP_DIRECT	GO:0006957~complement activation, alternative pathway	2	2.083333333333333	0.04709713302312037	C3, HC	88	10	18082	41.095454545454544	0.9999999999999992	0.5310196564460257	51.83496767277897
GOTERM_BP_DIRECT	GO:0010269~response to selenium ion	2	2.083333333333333	0.04709713302312037	GPX1, SOD2	88	10	18082	41.095454545454544	0.9999999999999992	0.5310196564460257	51.83496767277897
GOTERM_BP_DIRECT	GO:0090197~positive regulation of chemokine secretion	2	2.083333333333333	0.04709713302312037	HC, IL33	88	10	18082	41.095454545454544	0.9999999999999992	0.5310196564460257	51.83496767277897
GOTERM_BP_DIRECT	GO:0006633~fatty acid biosynthetic process	3	3.125	0.049450172027561405	ELOVL1, SCD1, PTGS1	88	74	18082	8.330159705159705	0.9999999999999999	0.5411647409514622	53.60490823730743
GOTERM_BP_DIRECT	GO:0007568~aging	4	4.166666666666666	0.05091754855072384	GCLC, CTSC, SCP2, SOD2	88	173	18082	4.750919600630583	1.0	0.5443687727309501	54.67770655982396
GOTERM_BP_DIRECT	GO:0002281~macrophage activation involved in immune response	2	2.083333333333333	0.05168448082300322	LBP, IL33	88	11	18082	37.35950413223141	1.0	0.5424828106359048	55.22914755518262
GOTERM_BP_DIRECT	GO:0042554~superoxide anion generation	2	2.083333333333333	0.05168448082300322	CYBA, SOD2	88	11	18082	37.35950413223141	1.0	0.5424828106359048	55.22914755518262
GOTERM_BP_DIRECT	GO:0060100~positive regulation of phagocytosis, engulfment	2	2.083333333333333	0.05168448082300322	LBP, AGER	88	11	18082	37.35950413223141	1.0	0.5424828106359048	55.22914755518262
GOTERM_BP_DIRECT	GO:0031669~cellular response to nutrient levels	2	2.083333333333333	0.05624999740572526	LCN2, ICAM1	88	12	18082	34.246212121212125	1.0	0.566554412068278	58.384308975280995
GOTERM_BP_DIRECT	GO:0035455~response to interferon-alpha	2	2.083333333333333	0.05624999740572526	BST2, IFITM2	88	12	18082	34.246212121212125	1.0	0.566554412068278	58.384308975280995
GOTERM_BP_DIRECT	GO:0048661~positive regulation of smooth muscle cell proliferation	3	3.125	0.05680310695675239	CYBA, ID2, AGER	88	80	18082	7.705397727272726	1.0	0.5630325194946466	58.75212139868413
GOTERM_BP_DIRECT	GO:0030212~hyaluronan metabolic process	2	2.083333333333333	0.060793785467017504	PIM1, ITIH4	88	13	18082	31.611888111888113	1.0	0.5814027488010283	61.31727175671764
GOTERM_BP_DIRECT	GO:0002237~response to molecule of bacterial origin	2	2.083333333333333	0.060793785467017504	CD14, B2M	88	13	18082	31.611888111888113	1.0	0.5814027488010283	61.31727175671764
GOTERM_BP_DIRECT	GO:0006811~ion transport	7	7.291666666666667	0.062353507343838224	LCN2, TMEM37, ATP5J2, ATP6V0E, CLIC3, ATP5F1, ATP6V1G1	88	584	18082	2.462912515566625	1.0	0.5839944365913228	62.2787167117993
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	2	2.083333333333333	0.06531594721699195	H2-AB1, H2-DMB2	88	14	18082	29.3538961038961	1.0	0.5946987415808405	64.04367293660178
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	4	4.166666666666666	0.06541285224757545	MUC1, CYBA, AGER, SOD2	88	192	18082	4.280776515151516	1.0	0.588548964542299	64.10008247568362
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	4	4.166666666666666	0.06951166146414667	SLPI, PRDX2, LBP, SOD2	88	197	18082	4.172127365020766	1.0	0.6050023150163508	66.41175671616433
GOTERM_BP_DIRECT	GO:0006636~unsaturated fatty acid biosynthetic process	2	2.083333333333333	0.0698165843949607	ELOVL1, SCD1	88	15	18082	27.3969696969697	1.0	0.600176023920101	66.5780498892153
GOTERM_BP_DIRECT	GO:0006956~complement activation	2	2.083333333333333	0.0698165843949607	C3, HC	88	15	18082	27.3969696969697	1.0	0.600176023920101	66.5780498892153
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	6	6.25	0.07042705539548152	ELOVL1, SCD1, GPX1, NPC2, C3, PTGS1	88	459	18082	2.6859774212715384	1.0	0.5971123568170491	66.90866896894737
GOTERM_BP_DIRECT	GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress	2	2.083333333333333	0.07429579827559472	GPX1, SOD2	88	16	18082	25.684659090909093	1.0	0.6112135872689708	68.93391760582892
GOTERM_BP_DIRECT	GO:0061136~regulation of proteasomal protein catabolic process	2	2.083333333333333	0.07875368964918217	GPX1, PSME1	88	17	18082	24.173796791443852	1.0	0.6273323770002953	71.12384053470619
GOTERM_BP_DIRECT	GO:0042493~response to drug	5	5.208333333333334	0.08084159587918584	LCN2, ICAM1, CYBA, SOD2, B2M	88	339	18082	3.0306382408152315	1.0	0.6312891403635865	72.09914847131668
GOTERM_BP_DIRECT	GO:0043032~positive regulation of macrophage activation	2	2.083333333333333	0.08319035884288904	LBP, IL33	88	18	18082	22.83080808080808	1.0	0.6363070603262667	73.15949939762405
GOTERM_BP_DIRECT	GO:0006801~superoxide metabolic process	2	2.083333333333333	0.08760590571730827	CYBA, SOD2	88	19	18082	21.629186602870814	1.0	0.6503138638002188	75.05175330043456
GOTERM_BP_DIRECT	GO:0010951~negative regulation of endopeptidase activity	2	2.083333333333333	0.08760590571730827	SERPINB6B, SLPI	88	19	18082	21.629186602870814	1.0	0.6503138638002188	75.05175330043456
GOTERM_BP_DIRECT	GO:2000045~regulation of G1/S transition of mitotic cell cycle	2	2.083333333333333	0.08760590571730827	PSME1, ID2	88	19	18082	21.629186602870814	1.0	0.6503138638002188	75.05175330043456
GOTERM_BP_DIRECT	GO:0030301~cholesterol transport	2	2.083333333333333	0.09200042967637719	NPC2, SCP2	88	20	18082	20.547727272727272	1.0	0.663369346501837	76.81069748725425
GOTERM_BP_DIRECT	GO:0044130~negative regulation of growth of symbiont in host	2	2.083333333333333	0.09200042967637719	SCD1, LBP	88	20	18082	20.547727272727272	1.0	0.663369346501837	76.81069748725425
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	3	3.125	0.09689522063038361	ICAM1, CLU, AGER	88	109	18082	5.65533778148457	1.0	0.6776312871223542	78.63321017013563
GOTERM_BP_DIRECT	GO:0006869~lipid transport	3	3.125	0.09989625974101339	APOC1, LBP, SCP2	88	111	18082	5.553439803439803	1.0	0.6837806967530655	79.68350263015655
